nan,nan.1,nan.2,nan.3,timestamp,connected_devices,signal_strength_dbm,download_mbps,upload_mbps,latency_ms,packet_loss,congestion_index
CVRaman-TF-RM-3041-AP07,CISCO,FGL1921X8T0,10.88.21.193,2026-05-02 07:50:00,52,-40.98,56.2,38.74,26.03,0.687,0.93
CVRaman-SF-RM-2055-AP14,CISCO,FGL2043AA2E,10.88.21.170,2026-05-02 07:55:00,24,-74.53,17.24,9.3,13.32,0.808,1.39
CVRaman-SF-RM-2104-AP02,CISCO,FGL1916XASU,10.88.21.180,2026-05-02 08:00:00,12,-79.75,58.17,23.41,12.57,0.869,0.21
CVRaman-TF-RM-3009-AP04,CISCO,FGL2022XADH,10.88.21.200,2026-05-02 08:05:00,11,-49.88,97.72,58.66,64.59,0.707,0.11
CVRaman-SF-RM-1019-AP01,CISCO,FGL1819S5KM,10.88.21.179,2026-05-02 08:10:00,71,-34.24,26.76,18.3,55.01,0.211,2.65
CVRaman-RF-RM-3064-AP14,CISCO,FGL1852XJU3,10.88.21.191,2026-05-02 08:15:00,21,-56.59,36.81,26.56,74.69,0.405,0.57
CVRaman-SF-RM2077-AP08,CISCO,FGL2147A0AJ,10.88.21.175,2026-05-02 08:20:00,37,-55.7,113.43,71.83,68.17,0.549,0.33
CVRaman-SF-RM-2035-AP22,CISCO,FGL1837X8AL,10.88.21.163,2026-05-02 08:25:00,52,-73.2,65.35,41.91,31.84,0.648,0.8
CVRaman-SF-RM-2119-AP13,CISCO,FGL1852XJRX,10.88.21.171,2026-05-02 08:30:00,80,-43.83,58.6,40.31,70.02,0.454,1.37
CVRaman-TF-RM-3110-AP18,CISCO,FGL1915X09A,10.88.21.174,2026-05-02 08:35:00,63,-78.78,53.75,23.04,56.2,0.242,1.17
CVRaman-TF-RM-3058-AP15,CISCO,FGL2148A37F,10.88.21.184,2026-05-02 08:40:00,119,-70.58,24.99,13.03,26.75,0.563,4.76
CVRaman-SF-RM-2041-AP16,CISCO,FGL1819S5KH,10.88.21.168,2026-05-02 08:45:00,90,-64.47,19.47,13.82,25.36,0.497,4.62
CVRaman-TF-RM-3105-AP19,CISCO,FGL1915X0DV,10.88.21.205,2026-05-02 08:50:00,26,-59.54,34.95,25.5,59.13,0.272,0.74
AP003a.7dac.2fcc,CISCO,FGL2015X7GG,10.88.21.178,2026-05-02 08:55:00,114,-75.46,78.17,31.27,43.33,0.047,1.46
CVRaman-SF-RM-2113-AP04,CISCO,FGL1942X9SZ,10.88.21.182,2026-05-02 09:00:00,34,-83.11,34.67,26.29,48.74,0.467,0.98
CV_Raman_Hostel_GF_AP10_rm_68,CISCO,FGL2015X7F7,10.88.21.185,2026-05-02 09:05:00,42,-53.36,5.05,3.52,28.72,0.102,8.32
CVRaman-SF-RM-2117-AP05,CISCO,FGL1852XJSP,10.88.21.183,2026-05-02 09:10:00,106,-72.68,25.07,15.69,69.99,0.572,4.23
CVRaman-SF-RM-2044-AP09,CISCO,FGL1921X8T7,10.88.21.176,2026-05-02 09:15:00,113,-55.13,37.83,21.7,73.25,0.377,2.99
CVRaman-SF-RM-2062-AP11,CISCO,,10.88.21.172,2026-05-02 09:20:00,55,-80.74,117.49,52.45,8.17,0.565,0.47
CVRaman-FF-RM-1009-AP20,CISCO,,10.88.21.142,2026-05-02 09:25:00,58,-61.13,115.11,78.45,5.33,0.167,0.5
CVRaman-SF-RM-2049-AP15,CISCO,FGL2015X7H7,10.88.21.169,2026-05-02 09:30:00,12,-58.04,99.91,47.27,25.88,0.13,0.12
CVRaman-SF-RM-2089-AP06,CISCO,,10.88.21.177,2026-05-02 09:35:00,31,-86.89,97.33,50.53,12.9,0.782,0.32
CVRaman-SF-RM-2028-AP21,CISCO,FGL1852XJR2,10.88.21.162,2026-05-02 09:40:00,31,-69.8,47.55,21.01,42.39,0.385,0.65
CVRaman-SF-RM-2002-AP20,CISCO,FGL1915X0RN,10.88.21.164,2026-05-02 09:45:00,102,-81.94,36.87,21.5,20.67,0.369,2.77
CVRaman-TF-RM-3050-AP09,CISCO,FGL1921X8SY,10.88.21.195,2026-05-02 09:50:00,25,-86.2,18.97,14.11,18.95,0.552,1.32
PragjyotikaHos-GF-RM-118-AP02,CISCO,,10.88.20.96,2026-05-02 09:55:00,34,-30.6,39.55,19.18,54.3,0.472,0.86
CVRaman-SF-RM-2019-AP17,CISCO,FGL2022XAFJ,10.88.21.167,2026-05-02 10:00:00,101,-70.66,111.61,80.19,61.55,0.036,0.9
CVRaman-Sf-RM-2070-AP12,CISCO,FGL1915X0EJ,10.88.21.173,2026-05-02 10:05:00,32,-41.41,19.41,12.82,60.39,0.316,1.65
CVRaman-SF-RM-2012-AP18,CISCO,,10.88.21.166,2026-05-02 10:10:00,115,-74.72,95.14,64.02,40.11,0.579,1.21
CVRaman-TF-RM-3071-AP13,CISCO,FGL2148A2VY,10.88.21.190,2026-05-02 10:15:00,68,-49.11,18.66,10.21,9.36,0.112,3.64
CVRaman-TF-RM-3003-AP03,CISCO,FGL1916X22F,10.88.21.197,2026-05-02 10:20:00,101,-44.39,21.53,9.47,56.6,0.242,4.69
CVRaman-TF-RM-3013-AP05,CISCO,FGL1916XAT0,10.88.21.201,2026-05-02 10:25:00,73,-54.26,56.89,23.19,14.33,0.414,1.28
CVRaman-TF-RM-3084-AP17,CISCO,FGL1837X8A9,10.88.21.187,2026-05-02 10:30:00,65,-61.71,28.17,14.99,72.95,0.267,2.31
CVRaman-TF-RM-3091-AP21,CISCO,,10.88.21.203,2026-05-02 10:35:00,52,-65.29,100.74,79.12,43.93,0.678,0.52
CVRaman-TF-RM-3027-AP01,CISCO,FGL2022XAD9,10.88.21.199,2026-05-02 10:40:00,23,-69.07,17.96,9.1,21.49,0.132,1.28
CvRaman-TF-RM-3044-AP08,CISCO,,10.88.21.194,2026-05-02 10:45:00,8,-34.23,55.0,22.37,62.76,0.807,0.15
CVRaman-TF-RM-3100-AP20,CISCO,FGL1819S5KG,10.88.21.204,2026-05-02 10:50:00,39,-40.16,29.21,16.77,29.91,0.342,1.34
CVRaman-TF-RM-3019-AP06,CISCO,,10.88.21.202,2026-05-02 10:55:00,68,-32.1,33.91,18.29,32.88,0.001,2.01
CVRaman-TF-RM-3113-AP12,CISCO,FGL1852XJRH,10.88.21.188,2026-05-02 11:00:00,53,-82.54,17.75,10.99,70.94,0.676,2.99
CVRaman-TF-RM-3036-AP02,CISCO,,10.88.21.198,2026-05-02 11:05:00,21,-46.15,22.07,15.74,63.53,0.458,0.95
DWH-GF-RM-26-AP03,CISCO,FGL1852XJRV,10.88.20.102,2026-05-02 11:10:00,48,-33.7,19.47,14.79,58.26,0.937,2.47
Dhansiri-FF-RM-108,CISCO,,10.88.22.39,2026-05-02 11:15:00,96,-79.13,92.23,64.47,40.54,0.058,1.04
Dhansiri-GF-RM-007,CISCO,,10.88.22.41,2026-05-02 11:20:00,34,-86.01,117.05,58.02,44.81,0.651,0.29
DWH-FF-RM-133-AP01,CISCO,,10.88.21.38,2026-05-02 11:25:00,97,-45.53,23.78,10.23,32.43,0.225,4.08
DWH-FF-RM-127-AP02,CISCO,,10.88.20.104,2026-05-02 11:30:00,50,-55.53,31.85,24.16,68.54,0.315,1.57
DWH-GF-RM-012-AP02,CISCO,,10.88.20.101,2026-05-02 11:35:00,10,-39.49,69.34,50.23,52.7,0.388,0.14
DWH-GF-RM-05-AP01,CISCO,FGL1819S5K8,10.88.21.42,2026-05-02 11:40:00,103,-81.61,32.4,23.45,76.05,0.337,3.18
DWH-FF-RM-113-AP04,CISCO,,10.88.21.40,2026-05-02 11:45:00,109,-42.28,100.75,76.17,58.08,0.062,1.08
CVRaman-TF-RM-3080-AP16,CISCO,FGL1921X8T1,10.88.21.186,2026-05-02 11:50:00,41,-77.9,60.31,36.12,22.27,0.045,0.68
DWH-GF-RM-36-AP04,CISCO,,10.88.21.39,2026-05-02 11:55:00,28,-80.18,39.55,24.2,23.14,0.501,0.71
DWH-GF-RM-18-AP03,CISCO,FGL1916X22D,10.88.21.43,2026-05-02 12:00:00,97,-80.14,97.57,63.26,74.65,0.761,0.99
Dhansiri-FF-RM-118,CISCO,FGL1942X9SX,10.88.22.38,2026-05-02 12:05:00,117,-41.13,44.14,25.3,8.29,0.166,2.65
Humanities-FF-RM-299-AP03,CISCO,,10.88.20.179,2026-05-02 12:10:00,50,-50.09,20.3,15.41,55.58,0.137,2.46
Humanities-GF-RM-108-AP01,CISCO,FGL2022XADF,10.88.20.196,2026-05-02 12:15:00,57,-58.62,59.82,44.36,23.15,0.961,0.95
Humanities-FF-RM-213-AP04,CISCO,FGL2102A7EK,10.88.20.205,2026-05-02 12:20:00,99,-68.47,21.26,12.74,35.5,0.953,4.66
Humanities-FF-RM-228-AP05,CISCO,FGL1915X0AD,10.88.20.202,2026-05-02 12:25:00,103,-37.37,21.64,10.9,37.77,0.594,4.76
Humanities-SF-RM-312-AP03,CISCO,FGL1916X221,10.88.21.251,2026-05-02 12:30:00,64,-66.45,27.56,11.17,6.06,0.829,2.32
StudentActivity-GF-RM-08-AP01,CISCO,FGL1915X0AE,10.88.20.191,2026-05-02 12:35:00,101,-41.0,101.25,78.72,77.01,0.521,1.0
StudentActivity-GF-RM-01-AP02,CISCO,FGL1915X0LF,10.88.20.194,2026-05-02 12:40:00,67,-63.65,39.47,21.99,69.07,0.773,1.7
PatkaiHostel-FF-RM-234-AP09,CISCO,,10.88.21.63,2026-05-02 12:45:00,89,-67.38,9.65,6.33,55.0,0.163,9.22
PatkaiHostel-SF-RM-306-AP04,CISCO,,10.88.21.66,2026-05-02 12:50:00,36,-62.24,13.48,10.0,50.23,0.835,2.67
PatkaiHostel-FF-RM-206-AP07,CISCO,FGL1852XJRU,10.88.21.60,2026-05-02 12:55:00,91,-71.92,8.38,6.46,22.15,0.634,10.86
PatkaiHostel-SF-RM-334-AP02,CISCO,FGL1916X23J,10.88.21.64,2026-05-02 13:00:00,37,-45.14,4.17,1.96,43.6,0.808,8.87
PatkaiHostel-SF-RM-364-AP09,CISCO,FGL1916X22A,10.88.21.67,2026-05-02 13:05:00,71,-59.84,5.87,2.42,41.07,0.662,12.1
PatkaiHostel-GF-RM-164-AP08,CISCO,FGL1819S5KD,10.88.21.59,2026-05-02 13:10:00,22,-76.07,13.56,6.26,79.26,0.955,1.62
PatkaiHostel-GF-RM-134-AP04,CISCO,FGL2015X7H5,10.88.21.57,2026-05-02 13:15:00,29,-36.03,24.84,17.5,32.88,0.392,1.17
PatKaiHostel-GF-RM-154-AP09,CISCO,FGL1930XAKR,10.88.20.65,2026-05-02 13:20:00,110,-66.97,10.88,4.6,38.33,0.276,10.11
PatKaiHostel-GF-RM-106-AP02,CISCO,FGL1915X0GU,10.88.20.64,2026-05-02 13:25:00,99,-57.39,28.66,14.34,47.31,0.359,3.45
PatkaiHostel-GF-RM-103-AP01,CISCO,,10.88.21.56,2026-05-02 13:30:00,58,-35.61,14.85,11.3,70.8,0.974,3.91
PatKaiHostel-FF-RM-280-AP05,CISCO,FGL1828X3FW,10.88.20.53,2026-05-02 13:35:00,62,-52.55,3.61,1.76,7.92,0.036,17.17
PatKaiHostel-FF-RM-203-AP06,CISCO,FGL1921X8T8,10.88.20.51,2026-05-02 13:40:00,71,-82.99,7.63,5.12,21.87,0.431,9.31
PatKaiHostel-SF-RM-380-AP06,CISCO,FGL2015X7E8,10.88.20.58,2026-05-02 13:45:00,108,-33.61,7.89,4.99,43.75,0.759,13.69
PatKaiHostel-SF-RM-303-AP05,CISCO,FGL1921X8T6,10.88.20.56,2026-05-02 13:50:00,50,-52.34,4.62,2.64,72.78,0.846,10.82
PatkaiHostel-GF-RM-180-AP06,CISCO,FGL1915X09V,10.88.20.62,2026-05-02 13:55:00,28,-69.91,11.01,7.84,40.73,0.498,2.54
Dhansiri-FF-RM-130,CISCO,FGL2015X7GE,10.88.22.40,2026-05-02 14:00:00,118,-81.64,64.33,32.3,27.18,0.594,1.83
Dhansiri-GF-RM-032-AP07,CISCO,FGL1837X8MY,10.88.22.36,2026-05-02 14:05:00,36,-42.36,26.15,11.2,10.18,0.941,1.38
DWH-FF-RM-104-AP05,CISCO,FGL1915X095,10.88.20.103,2026-05-02 14:10:00,51,-52.8,28.49,12.48,67.01,0.048,1.79
Dhansiri-GF-RM-021,CISCO,FGL1915X0GY,10.88.22.37,2026-05-02 14:15:00,90,-57.99,100.87,71.46,54.1,0.152,0.89
Chemical-FF-RM-230-02,CISCO,FGL1915X096,10.88.20.68,2026-05-02 14:20:00,27,-36.37,37.1,15.52,26.75,0.931,0.73
Mechanical-FF-RM-223-AP03,CISCO,FGL1852XJQZ,10.88.20.120,2026-05-02 14:25:00,70,-42.68,77.43,54.68,5.0,0.417,0.9
Mechanical-FF-RM-202-AP01,CISCO,,10.88.20.151,2026-05-02 14:30:00,31,-80.9,86.58,59.67,20.04,0.204,0.36
Mechanical-FF-RM-211-AP04,CISCO,,10.88.22.56,2026-05-02 14:35:00,110,-71.3,12.68,6.24,5.11,0.729,8.68
Mechanical-GF-RM-101-AP02,CISCO,,10.88.20.149,2026-05-02 14:40:00,6,-75.09,58.84,40.76,53.05,0.416,0.1
Mechanical-GF-RM-111-AP03,CISCO,,10.88.20.150,2026-05-02 14:45:00,94,-45.36,51.57,26.88,29.4,0.713,1.82
Mechanical-SF-RM-310-AP02,CISCO,,10.88.20.154,2026-05-02 14:50:00,21,-87.99,53.59,24.12,30.27,1.0,0.39
Mechanical-SF-RM-303-AP01,CISCO,AP-1,10.88.20.153,2026-05-02 14:55:00,108,-55.81,19.6,13.75,34.49,0.591,5.51
Mechanical-FF-RM-218-AP02,CISCO,,10.88.20.152,2026-05-02 15:00:00,37,-44.25,32.09,18.16,61.54,0.021,1.15
Mechanical-GF-RM-119-AP01,CISCO,,10.88.20.148,2026-05-02 15:05:00,13,-37.39,34.42,21.8,76.42,0.042,0.38
Mechanical-FF-RM-307-AP03,CISCO,,10.88.20.162,2026-05-02 15:10:00,47,-69.48,17.14,13.37,52.41,0.13,2.74
Pobitora Women's Hostel,CISCO,,10.88.21.80,2026-05-02 15:15:00,52,-40.72,26.8,16.23,43.17,0.369,1.94
Pobitora Women's Hostel,CISCO,,10.88.21.81,2026-05-02 15:20:00,43,-83.36,9.5,4.4,18.51,0.098,4.53
Pobitora Women's Hostel,CISCO,,10.88.21.82,2026-05-02 15:25:00,97,-39.21,11.37,7.71,59.67,0.862,8.53
Pobitora Women's Hostel,CISCO,,10.88.21.83,2026-05-02 15:30:00,46,-82.35,6.07,2.56,15.66,0.213,7.58
Pobitora Women's Hostel,CISCO,,10.88.21.84,2026-05-02 15:35:00,30,-66.16,29.95,22.24,57.59,0.727,1.0
Pobitora Women's Hostel,CISCO,,10.88.21.85,2026-05-02 15:40:00,103,-42.16,8.95,5.55,28.4,0.483,11.51
Pobitora Women's Hostel,CISCO,,10.88.21.86,2026-05-02 15:45:00,54,-81.0,6.3,4.37,33.83,0.025,8.57
Pobitora Women's Hostel,,,10.88.21.87,2026-05-02 15:50:00,29,-76.24,8.79,6.32,51.19,0.843,3.3
Pobitora Women's Hostel,,,10.88.21.88,2026-05-02 15:55:00,28,-46.66,3.23,2.2,66.28,0.546,8.67
Pobitora Women's Hostel,,,10.88.21.89,2026-05-02 16:00:00,17,-46.8,13.0,7.44,28.16,0.482,1.31
Pobitora Women's Hostel,,,10.88.21.90,2026-05-02 16:05:00,64,-51.53,3.39,2.44,46.45,0.397,18.88
Pobitora Women's Hostel,,,10.88.21.91,2026-05-02 16:10:00,11,-48.36,6.98,5.05,55.79,0.625,1.58
Pobitora Women's Hostel,,,10.88.21.92,2026-05-02 16:15:00,61,-57.44,9.75,6.52,64.75,0.25,6.26
Pobitora Women's Hostel,,,10.88.21.93,2026-05-02 16:20:00,40,-74.89,9.58,7.09,78.64,0.628,4.18
Pobitora Women's Hostel,,,10.88.21.94,2026-05-02 16:25:00,49,-69.26,4.36,1.83,46.16,0.288,11.24
Pobitora Women's Hostel,,,10.88.21.95,2026-05-02 16:30:00,24,-79.1,6.4,3.61,75.12,0.431,3.75
Pobitora Women's Hostel,,,10.88.21.96,2026-05-02 16:35:00,69,-35.49,36.34,15.53,63.78,0.286,1.9
Pobitora Women's Hostel,,,10.88.21.97,2026-05-02 16:40:00,12,-55.0,7.66,5.14,10.41,0.205,1.57
Pobitora Women's Hostel,,,10.88.21.98,2026-05-02 16:45:00,114,-65.95,21.44,14.08,55.36,0.632,5.32
Pobitora Women's Hostel,,,10.88.21.99,2026-05-02 16:50:00,20,-62.28,5.32,3.8,50.08,0.99,3.76
Pobitora Women's Hostel,,,10.88.21.100,2026-05-02 16:55:00,18,-33.16,6.59,3.77,78.53,0.068,2.73
Pobitora Women's Hostel,,,10.88.21.101,2026-05-02 17:00:00,80,-80.8,25.56,11.28,46.08,0.979,3.13
Pobitora Women's Hostel,,,10.88.21.102,2026-05-02 17:05:00,119,-54.83,13.33,9.09,36.7,0.347,8.93
Pobitora Women's Hostel,,,10.88.21.103,2026-05-02 17:10:00,91,-59.65,7.31,4.69,43.76,0.74,12.45
Pobitora Women's Hostel,,,10.88.21.104,2026-05-02 17:15:00,19,-53.31,7.23,4.79,77.64,0.604,2.63
Pobitora Women's Hostel,,,10.88.21.105,2026-05-02 17:20:00,96,-88.91,12.31,9.48,10.13,0.43,7.8
Pobitora Women's Hostel,,,10.88.21.106,2026-05-02 17:25:00,102,-37.67,10.29,6.68,53.64,0.267,9.91
Pobitora Women's Hostel,,,10.88.21.107,2026-05-02 17:30:00,70,-34.07,3.48,1.91,47.27,0.451,20.11
Pobitora Women's Hostel,,,10.88.21.108,2026-05-02 17:35:00,36,-56.09,15.08,7.92,25.33,0.598,2.39
Pobitora Women's Hostel,,,10.88.21.109,2026-05-02 17:40:00,91,-48.2,35.98,16.08,38.68,0.612,2.53
Pobitora Women's Hostel,,,10.88.21.110,2026-05-02 17:45:00,67,-34.65,5.46,4.12,20.2,0.588,12.27
Pobitora Women's Hostel,,,10.88.21.111,2026-05-02 17:50:00,90,-47.57,31.03,13.04,52.06,0.386,2.9
Pobitora Women's Hostel,,,10.88.21.112,2026-05-02 17:55:00,55,-80.85,38.09,22.09,76.82,0.399,1.44
Pobitora Women's Hostel,,,10.88.21.113,2026-05-02 18:00:00,29,-55.42,17.6,12.24,21.1,0.665,1.65
Pobitora Women's Hostel,,,10.88.21.114,2026-05-02 18:05:00,62,-53.6,8.31,4.77,11.95,0.748,7.46
Pobitora Women's Hostel,,,10.88.21.115,2026-05-02 18:10:00,67,-64.55,9.36,6.97,66.29,0.513,7.16
Pobitora Women's Hostel,,,10.88.21.116,2026-05-02 18:15:00,66,-45.81,7.72,4.91,51.0,0.638,8.55
Pobitora Women's Hostel,,,10.88.21.117,2026-05-02 18:20:00,26,-33.94,4.32,2.08,54.05,0.818,6.02
Pobitora Women's Hostel,,,10.88.21.118,2026-05-02 18:25:00,62,-34.47,2.88,1.17,23.63,0.214,21.53
Pobitora Women's Hostel,,,10.88.21.119,2026-05-02 18:30:00,62,-62.95,4.53,3.46,31.61,0.425,13.69
Pobitora Women's Hostel,,,10.88.20.119,2026-05-02 18:35:00,90,-83.21,16.46,11.01,11.09,0.951,5.47
Pobitora Women's Hostel,,,10.88.20.122,2026-05-02 18:40:00,53,-30.91,17.58,9.73,42.01,0.283,3.01
Pobitora Women's Hostel,,,,2026-05-02 18:45:00,56,-39.67,11.2,7.24,60.72,0.738,5.0
Pobitora Women's Hostel,,,10.88.21.74,2026-05-02 18:50:00,46,-82.52,8.55,6.05,37.06,0.206,5.38
Pobitora Women's Hostel,,,10.88.21.75,2026-05-02 18:55:00,74,-34.75,11.33,5.75,32.63,0.895,6.53
Pobitora Women's Hostel,,,10.88.21.47,2026-05-02 19:00:00,19,-37.81,7.5,5.36,35.85,0.874,2.53
Pobitora Women's Hostel,,,10.88.21.48,2026-05-02 19:05:00,58,-58.87,14.57,8.32,38.19,0.649,3.98
Pobitora Women's Hostel,,,10.88.21.49,2026-05-02 19:10:00,111,-54.52,9.52,5.41,42.51,0.785,11.66
Pobitora Women's Hostel,,,10.88.21.72,2026-05-02 19:15:00,64,-66.06,27.97,14.55,42.7,0.056,2.29
Pobitora Women's Hostel,,,10.88.21.44,2026-05-02 19:20:00,105,-86.71,6.18,2.99,26.08,0.713,16.99
Pobitora Women's Hostel,,,10.88.21.45,2026-05-02 19:25:00,101,-69.89,10.34,5.21,16.96,0.16,9.77
Pobitora Women's Hostel,,,10.88.21.69,2026-05-02 19:30:00,12,-41.83,6.06,4.71,61.01,0.721,1.98
Pobitora Women's Hostel,,,10.88.21.70,2026-05-02 19:35:00,57,-89.72,11.6,5.15,26.69,0.31,4.91
Subansiri Hostel,,,10.88.21.55,2026-05-02 19:40:00,64,-69.99,4.37,2.72,24.12,0.743,14.65
Dhansiri-GF-RM-007,,,10.88.21.41,2026-05-02 19:45:00,112,-66.11,13.84,9.91,28.08,0.914,8.09
Humanities Building English Research Schollar Room,,,10.88.20.52,2026-05-02 19:50:00,112,-57.76,29.17,19.05,33.01,0.271,3.84
